,team_name,team_id,color1,color2,color3,color4
0,Abilene Chr,1101,#4e2683,#FFFFFF,0.0,0.0
1,Air Force,1102,#0061AA,#FFFFFF,0.0,0.0
2,Akron,1103,#000E41,#C29C41,#FFFFFF,0.0
3,Alabama,1104,#A80532,#FFFFFF,#CACCCE,0.0
4,Alabama A&M,1105,#750000,#FFFFFF,0.0,0.0
5,Alabama St,1106,#FECB09,#231F20,#FFFFFF,0.0
6,Albany NY,1107,#46166b,#eeb211,0.0,0.0
7,Alcorn St,1108,#42094A,#FFFFFF,#FCF5BA,0.0
8,American Univ,1110,#C41130,#143D8D,#FFFFFF,0.0
9,Appalachian St,1111,#000000,#FFC520,#FFFFFF,0.0
10,Arizona,1112,#003559,#BB003A,#FFFFFF,0.0
11,Arizona St,1113,#96203D,#FEC927,#FFFFFF,0.0
12,Ark Little Rock,1114,#eeb211,#FFFFFF,#a7a9ac,0.0
13,Ark Pine Bluff,1115,#EEBB00,#000000,#FFFFFF,0.0
14,Arkansas,1116,#CD1041,#231F20,#FFFFFF,0.0
15,Arkansas St,1117,#ED1B2E,#FFFFFF,#231F20,#C8C7C7
16,Army,1119,#D19D00,#000000,#FFFFFF,0.0
17,Auburn,1120,#172240,#FE3300,#FFFFFF,0.0
18,Austin Peay,1122,#8E0B0B,#FFFFFF,0.0,0.0
19,BYU,1140,#002D62,#FFFFFF,0.0,0.0
20,Ball St,1123,#DA0000,#FFFFFF,#000000,0.0
21,Baylor,1124,#008649,#FFC227,#FFFFFF,0.0
22,Belmont,1125,#2A3F76,#E82645,#FFFFFF,0.0
23,Bethune-Cookman,1126,#841B35,#FFFFFF,#FEB65F,0.0
24,Binghamton,1127,#006F53,#FFFFFF,#B3B5B8,0.0
25,Birmingham So,1128,#bd8c00,#000000,0.0,0.0
26,Boise St,1129,#2D4492,#F27E34,#FFFFFF,0.0
27,Boston College,1130,#821E1E,#000000,#EEE8B7,#FFFFFF
28,Boston Univ,1131,#DD072E,#FFFFFF,#000000,0.0
29,Bowling Green,1132,#4E2400,#F5793F,#FFFFFF,0.0
30,Bradley,1133,#FF151A,#FFFFFF,#000000,0.0
31,Brown,1135,#543019,#8A1E04,#FFFFFF,#000000
32,Bryant,1136,#702D07,#231F20,#A59474,0.0
33,Bucknell,1137,#000064,#FF7000,#FFFFFF,0.0
34,Buffalo,1138,#0068B4,#FFFFFF,#000000,0.0
35,Butler,1139,#0D1361,#FFFFFF,#000000,0.0
36,C Michigan,1141,#780006,#E2A253,#FFFFFF,0.0
37,CS Bakersfield,1167,#005DAB,#FFD204,#FFFFFF,0.0
38,CS Fullerton,1168,#003768,#FFFFFF,#F68F1E,0.0
39,CS Northridge,1169,#CD1041,#FFFFFF,#231F20,0.0
40,CS Sacramento,1170,#004e38,#c4b681,0.0,0.0
41,Cal Baptist,1465,#000080,#ffd700,0.0,0.0
42,Cal Poly SLO,1142,#003831,#ffe395,#b38f4f,0.0
43,California,1143,#003768,#FFDE30,#FFFFFF,0.0
44,Campbell,1144,#000000,#FF8931,#FFFFFF,0.0
45,Canisius,1145,#002859,#EEB211,#FFFFFF,0.0
46,Cent Arkansas,1146,#b38f4f,#818a8f,0.0,0.0
47,Centenary,1147,#A20B36,#FFFFFF,#161515,0.0
48,Central Conn,1148,#1B49A2,#FFFFFF,0.0,0.0
49,Charleston So,1149,#00447C,#FFFFFF,0.0,0.0
50,Charlotte,1150,#006331,#FFFFFF,#949431,0.0
51,Chattanooga,1151,#EEB311,#00437B,#FFFFFF,0.0
52,Chicago St,1152,#006700,#FFFFFF,0.0,0.0
53,Cincinnati,1153,#000000,#FD0026,#FFFFFF,0.0
54,Citadel,1154,#002B5C,#FFFFFF,0.0,0.0
55,Clemson,1155,#F06014,#FFFFFF,#441F6F,0.0
56,Cleveland St,1156,#00573D,#FFFFFF,#231F20,#A7A9AC
57,Coastal Car,1157,#009297,#FFFFFF,#373434,#D59C3A
58,Col Charleston,1158,#76232f,#c5b783,#FFFFFF,0.0
59,Colgate,1159,#8B011D,#FFFFFF,#241F20,0.0
60,Colorado,1160,#D9C994,#231F20,#FFFFFF,0.0
61,Colorado St,1161,#008C75,#FFFFFF,#000000,#F8E793
62,Columbia,1162,#7CC2F1,#004B85,#FFFFFF,0.0
63,Connecticut,1163,#1B49A2,#FFFFFF,0.0,0.0
64,Coppin St,1164,#2E3192,#FFFFFF,#FFF500,0.0
65,Cornell,1165,#D60027,#FFFFFF,#000000,0.0
66,Creighton,1166,#192DAA,#F2B43B,#FFFFFF,0.0
